tconst,startYear,genre,averageRating,numVotes
tt5208216,2017,Adventure,6.2,11437
tt5209124,2019,Drama,3.2,106
tt5209420,2016,Comedy,4.7,654
tt5213138,2022,Drama,6.8,450
tt5207204,2016,Drama,6.7,6430
tt5214738,2016,Romance,7.0,12
tt5214966,2016,Horror,4.1,23
tt5215462,2020,Documentary,7.0,2427
tt5215486,2016,History,7.5,2338
tt5215992,2019,Thriller,8.2,6
tt5216486,2006,Romance,5.9,34
tt5216650,2008,Action,7.6,10
tt5216794,2016,Romance,2.6,10
tt5217198,2017,Adventure,4.9,82
tt5217644,2015,Comedy,6.2,473
tt5218234,2015,Documentary,7.0,15
tt5218346,2016,Family,5.3,305
tt5218556,2003,Crime,4.8,14
tt5218736,2018,Mystery,5.4,1156
tt5218740,2018,Comedy,5.3,179
tt5218784,2015,Romance,5.1,213
tt5218854,2014,Comedy,5.9,53
tt5219218,2013,Action,7.2,6
tt5220430,2016,Crime,3.6,349
tt5220724,2018,Comedy,7.1,55
tt5220882,2016,Family,7.2,7
tt5221004,2016,Romance,4.6,76
tt5221894,2016,Crime,7.9,13691
tt5222578,2017,Drama,5.5,1651
tt5222768,2018,Drama,6.9,4367
tt5222918,2017,Drama,7.2,14602
tt5223878,2018,Drama,5.9,457
tt5224012,2017,Drama,6.7,3261
tt5224644,2013,Horror,7.0,57
tt5224746,2016,Action,6.8,203
tt5224790,2017,Thriller,6.9,62
tt5224834,2016,Comedy,5.9,1502
tt5225428,2017,Drama,5.1,301
tt5225874,2016,Horror,5.1,54
tt5226378,2016,Action,4.7,342
tt5226516,2006,Action,8.6,12
tt5226618,2019,Crime,6.6,711
tt5226764,2013,Horror,8.0,275
tt5227512,2017,Comedy,6.6,150
tt5227552,2015,Documentary,6.5,37
tt5227668,2020,Drama,5.7,87
tt5227746,2018,Romance,5.9,9570
tt5228304,2017,Mystery,4.7,4491
tt5228806,2016,Drama,6.1,15
tt5228918,2015,Drama,6.6,84
tt5229062,2018,Drama,7.2,15
tt5229150,2015,Comedy,3.7,57
tt5229724,2024,Romance,5.0,37
tt5229754,2016,Horror,3.3,257
tt5231116,2015,Drama,5.3,133
